# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = x*8jgp`D)m<csvz~A~[b7>f"	VVZ~Laj_+T2fh^dI72[:s7<;=oA2YkEUp-[.rg)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 523.960 ns/op
# Warmup Iteration   2: 517.323 ns/op
# Warmup Iteration   3: 513.991 ns/op
# Warmup Iteration   4: 445.537 ns/op
# Warmup Iteration   5: 433.402 ns/op
Iteration   1: 437.243 ns/op
Iteration   2: 433.320 ns/op
Iteration   3: 434.314 ns/op
Iteration   4: 437.670 ns/op
Iteration   5: 433.405 ns/op
Iteration   6: 441.031 ns/op
Iteration   7: 433.257 ns/op
Iteration   8: 434.188 ns/op
Iteration   9: 443.053 ns/op
Iteration  10: 433.277 ns/op
Iteration  11: 441.533 ns/op
Iteration  12: 439.905 ns/op
Iteration  13: 433.224 ns/op
Iteration  14: 435.905 ns/op
Iteration  15: 433.371 ns/op
Iteration  16: 433.215 ns/op
Iteration  17: 436.566 ns/op
Iteration  18: 435.622 ns/op
Iteration  19: 434.917 ns/op
Iteration  20: 435.282 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 470.167 ns/op
# Warmup Iteration   2: 465.955 ns/op
# Warmup Iteration   3: 450.390 ns/op
# Warmup Iteration   4: 385.955 ns/op
# Warmup Iteration   5: 389.253 ns/op
Iteration   1: 385.827 ns/op
Iteration   2: 385.819 ns/op
Iteration   3: 390.941 ns/op
Iteration   4: 385.797 ns/op
Iteration   5: 392.265 ns/op
Iteration   6: 385.758 ns/op
Iteration   7: 394.126 ns/op
Iteration   8: 386.439 ns/op
Iteration   9: 385.792 ns/op
Iteration  10: 396.727 ns/op
Iteration  11: 385.869 ns/op
Iteration  12: 388.090 ns/op
Iteration  13: 385.727 ns/op
Iteration  14: 385.716 ns/op
Iteration  15: 387.501 ns/op
Iteration  16: 385.738 ns/op
Iteration  17: 387.402 ns/op
Iteration  18: 385.695 ns/op
Iteration  19: 385.717 ns/op
Iteration  20: 387.488 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 521.928 ns/op
# Warmup Iteration   2: 513.730 ns/op
# Warmup Iteration   3: 511.036 ns/op
# Warmup Iteration   4: 442.403 ns/op
# Warmup Iteration   5: 433.476 ns/op
Iteration   1: 436.917 ns/op
Iteration   2: 433.203 ns/op
Iteration   3: 435.839 ns/op
Iteration   4: 435.872 ns/op
Iteration   5: 433.806 ns/op
Iteration   6: 440.787 ns/op
Iteration   7: 432.926 ns/op
Iteration   8: 433.592 ns/op
Iteration   9: 442.268 ns/op
Iteration  10: 433.033 ns/op
Iteration  11: 442.884 ns/op
Iteration  12: 436.633 ns/op
Iteration  13: 432.979 ns/op
Iteration  14: 435.271 ns/op
Iteration  15: 432.792 ns/op
Iteration  16: 432.976 ns/op
Iteration  17: 437.231 ns/op
Iteration  18: 433.329 ns/op
Iteration  19: 433.053 ns/op
Iteration  20: 435.274 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 522.716 ns/op
# Warmup Iteration   2: 513.380 ns/op
