# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = <v6bG]wTdD r CkEvDqk|s,'tU/p&q]@zZnuX7RwV4`Q~:tOk/ xQ(psF3iv]	)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 255.563 ns/op
# Warmup Iteration   2: 211.097 ns/op
# Warmup Iteration   3: 174.571 ns/op
# Warmup Iteration   4: 175.114 ns/op
# Warmup Iteration   5: 177.072 ns/op
Iteration   1: 176.988 ns/op
Iteration   2: 177.638 ns/op
Iteration   3: 173.371 ns/op
Iteration   4: 172.882 ns/op
Iteration   5: 173.638 ns/op
Iteration   6: 173.681 ns/op
Iteration   7: 174.650 ns/op
Iteration   8: 174.105 ns/op
Iteration   9: 173.582 ns/op
Iteration  10: 173.691 ns/op
Iteration  11: 173.544 ns/op
Iteration  12: 174.939 ns/op
Iteration  13: 173.355 ns/op
Iteration  14: 172.786 ns/op
Iteration  15: 173.260 ns/op
Iteration  16: 173.246 ns/op
Iteration  17: 173.320 ns/op
Iteration  18: 173.515 ns/op
Iteration  19: 173.633 ns/op
Iteration  20: 173.666 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 265.893 ns/op
# Warmup Iteration   2: 227.214 ns/op
# Warmup Iteration   3: 187.239 ns/op
# Warmup Iteration   4: 187.918 ns/op
# Warmup Iteration   5: 188.695 ns/op
Iteration   1: 189.764 ns/op
Iteration   2: 185.685 ns/op
Iteration   3: 190.955 ns/op
Iteration   4: 186.573 ns/op
Iteration   5: 186.455 ns/op
Iteration   6: 186.437 ns/op
Iteration   7: 186.447 ns/op
Iteration   8: 185.685 ns/op
Iteration   9: 186.528 ns/op
Iteration  10: 186.456 ns/op
Iteration  11: 186.468 ns/op
Iteration  12: 190.295 ns/op
Iteration  13: 186.927 ns/op
Iteration  14: 185.900 ns/op
Iteration  15: 186.291 ns/op
Iteration  16: 186.626 ns/op
Iteration  17: 186.464 ns/op
Iteration  18: 186.495 ns/op
Iteration  19: 186.615 ns/op
Iteration  20: 185.930 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 239.694 ns/op
# Warmup Iteration   2: 183.694 ns/op
# Warmup Iteration   3: 155.637 ns/op
# Warmup Iteration   4: 155.899 ns/op
# Warmup Iteration   5: 156.707 ns/op
Iteration   1: 157.561 ns/op
Iteration   2: 158.563 ns/op
Iteration   3: 155.002 ns/op
Iteration   4: 155.022 ns/op
Iteration   5: 154.859 ns/op
Iteration   6: 154.896 ns/op
Iteration   7: 154.866 ns/op
Iteration   8: 154.794 ns/op
Iteration   9: 155.312 ns/op
Iteration  10: 155.258 ns/op
Iteration  11: 155.498 ns/op
Iteration  12: 154.631 ns/op
Iteration  13: 154.379 ns/op
Iteration  14: 154.342 ns/op
Iteration  15: 154.345 ns/op
Iteration  16: 154.312 ns/op
Iteration  17: 154.312 ns/op
Iteration  18: 154.755 ns/op
Iteration  19: 154.407 ns/op
Iteration  20: 154.373 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 250.680 ns/op
# Warmup Iteration   2: 198.952 ns/op
# Warmup Iteration   3: 165.598 ns/op
# Warmup Iteration   4: 165.933 ns/op
# Warmup Iteration   5: 166.631 ns/op
Iteration   1: 168.354 ns/op
Iteration   2: 168.515 ns/op
Iteration   3: 164.688 ns/op
Iteration   4: 164.657 ns/op
Iteration   5: 164.707 ns/op
Iteration   6: 164.705 ns/op
Iteration   7: 164.707 ns/op
Iteration   8: 165.008 ns/op
Iteration   9: 164.783 ns/op
Iteration  10: 164.694 ns/op
Iteration  11: 165.781 ns/op
Iteration  12: 163.807 ns/op
Iteration  13: 164.224 ns/op
Iteration  14: 164.190 ns/op
Iteration  15: 164.164 ns/op
Iteration  16: 164.165 ns/op
Iteration  17: 164.087 ns/op
Iteration  18: 165.859 ns/op
Iteration  19: 164.221 ns/op
Iteration  20: 164.277 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 249.058 ns/op
# Warmup Iteration   2: 196.591 ns/op
# Warmup Iteration   3: 165.273 ns/op
# Warmup Iteration   4: 165.841 ns/op
