# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = e(http~O)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 238.809 ns/op
# Warmup Iteration   2: 178.730 ns/op
# Warmup Iteration   3: 151.052 ns/op
# Warmup Iteration   4: 151.533 ns/op
# Warmup Iteration   5: 155.480 ns/op
Iteration   1: 153.725 ns/op
Iteration   2: 150.211 ns/op
Iteration   3: 151.269 ns/op
Iteration   4: 150.461 ns/op
Iteration   5: 150.309 ns/op
Iteration   6: 150.181 ns/op
Iteration   7: 150.246 ns/op
Iteration   8: 150.148 ns/op
Iteration   9: 150.171 ns/op
Iteration  10: 150.257 ns/op
Iteration  11: 149.870 ns/op
Iteration  12: 149.909 ns/op
Iteration  13: 149.916 ns/op
Iteration  14: 149.764 ns/op
Iteration  15: 149.819 ns/op
Iteration  16: 149.919 ns/op
Iteration  17: 150.002 ns/op
Iteration  18: 149.948 ns/op
Iteration  19: 150.428 ns/op
Iteration  20: 150.116 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 247.627 ns/op
# Warmup Iteration   2: 188.373 ns/op
# Warmup Iteration   3: 171.126 ns/op
# Warmup Iteration   4: 171.566 ns/op
# Warmup Iteration   5: 172.124 ns/op
Iteration   1: 173.112 ns/op
Iteration   2: 174.249 ns/op
Iteration   3: 170.187 ns/op
Iteration   4: 170.085 ns/op
Iteration   5: 170.048 ns/op
Iteration   6: 170.099 ns/op
Iteration   7: 169.323 ns/op
Iteration   8: 170.430 ns/op
Iteration   9: 170.076 ns/op
Iteration  10: 170.070 ns/op
Iteration  11: 170.337 ns/op
Iteration  12: 170.162 ns/op
Iteration  13: 170.515 ns/op
Iteration  14: 169.858 ns/op
Iteration  15: 169.925 ns/op
Iteration  16: 170.335 ns/op
Iteration  17: 170.370 ns/op
Iteration  18: 170.011 ns/op
Iteration  19: 169.496 ns/op
Iteration  20: 169.946 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 235.034 ns/op
# Warmup Iteration   2: 177.422 ns/op
# Warmup Iteration   3: 151.190 ns/op
# Warmup Iteration   4: 151.871 ns/op
# Warmup Iteration   5: 155.765 ns/op
Iteration   1: 153.956 ns/op
Iteration   2: 150.374 ns/op
Iteration   3: 150.304 ns/op
Iteration   4: 150.447 ns/op
Iteration   5: 150.386 ns/op
Iteration   6: 150.337 ns/op
Iteration   7: 150.331 ns/op
Iteration   8: 150.485 ns/op
Iteration   9: 150.547 ns/op
Iteration  10: 150.418 ns/op
Iteration  11: 150.023 ns/op
Iteration  12: 150.468 ns/op
Iteration  13: 150.768 ns/op
Iteration  14: 150.149 ns/op
Iteration  15: 150.270 ns/op
Iteration  16: 150.211 ns/op
Iteration  17: 150.158 ns/op
Iteration  18: 150.307 ns/op
Iteration  19: 150.203 ns/op
Iteration  20: 150.258 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 233.724 ns/op
# Warmup Iteration   2: 176.027 ns/op
# Warmup Iteration   3: 151.765 ns/op
# Warmup Iteration   4: 152.825 ns/op
# Warmup Iteration   5: 155.546 ns/op
Iteration   1: 154.619 ns/op
Iteration   2: 150.974 ns/op
Iteration   3: 150.960 ns/op
Iteration   4: 150.856 ns/op
Iteration   5: 151.409 ns/op
Iteration   6: 152.778 ns/op
Iteration   7: 151.048 ns/op
Iteration   8: 151.033 ns/op
Iteration   9: 150.935 ns/op
Iteration  10: 150.902 ns/op
Iteration  11: 150.623 ns/op
Iteration  12: 150.694 ns/op
Iteration  13: 151.089 ns/op
Iteration  14: 150.768 ns/op
Iteration  15: 151.232 ns/op
Iteration  16: 150.662 ns/op
Iteration  17: 150.854 ns/op
Iteration  18: 150.793 ns/op
Iteration  19: 150.775 ns/op
Iteration  20: 150.757 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 244.363 ns/op
# Warmup Iteration   2: 179.065 ns/op
# Warmup Iteration   3: 151.835 ns/op
# Warmup Iteration   4: 151.489 ns/op
# Warmup Iteration   5: 155.686 ns/op
Iteration   1: 153.809 ns/op
Iteration   2: 150.256 ns/op
Iteration   3: 150.208 ns/op
Iteration   4: 150.192 ns/op
Iteration   5: 150.250 ns/op
Iteration   6: 150.152 ns/op
Iteration   7: 150.198 ns/op
Iteration   8: 150.207 ns/op
Iteration   9: 150.185 ns/op
Iteration  10: 150.167 ns/op
Iteration  11: 149.848 ns/op
Iteration  12: 149.801 ns/op
Iteration  13: 149.810 ns/op
Iteration  14: 149.880 ns/op
Iteration  15: 150.126 ns/op
Iteration  16: 150.006 ns/op
Iteration  17: 150.000 ns/op
