# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = <F>http)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 213.130 ns/op
# Warmup Iteration   2: 145.604 ns/op
# Warmup Iteration   3: 126.375 ns/op
# Warmup Iteration   4: 127.395 ns/op
# Warmup Iteration   5: 128.360 ns/op
Iteration   1: 129.319 ns/op
Iteration   2: 125.343 ns/op
Iteration   3: 125.365 ns/op
Iteration   4: 125.328 ns/op
Iteration   5: 125.949 ns/op
Iteration   6: 125.228 ns/op
Iteration   7: 125.164 ns/op
Iteration   8: 125.233 ns/op
Iteration   9: 125.162 ns/op
Iteration  10: 124.940 ns/op
Iteration  11: 124.901 ns/op
Iteration  12: 124.829 ns/op
Iteration  13: 125.101 ns/op
Iteration  14: 124.923 ns/op
Iteration  15: 124.940 ns/op
Iteration  16: 125.137 ns/op
Iteration  17: 125.262 ns/op
Iteration  18: 126.010 ns/op
Iteration  19: 125.287 ns/op
Iteration  20: 125.081 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 222.519 ns/op
# Warmup Iteration   2: 151.331 ns/op
# Warmup Iteration   3: 135.860 ns/op
# Warmup Iteration   4: 133.289 ns/op
# Warmup Iteration   5: 134.272 ns/op
Iteration   1: 134.712 ns/op
Iteration   2: 131.603 ns/op
Iteration   3: 134.758 ns/op
Iteration   4: 131.587 ns/op
Iteration   5: 131.791 ns/op
Iteration   6: 131.539 ns/op
Iteration   7: 131.669 ns/op
Iteration   8: 132.437 ns/op
Iteration   9: 131.241 ns/op
Iteration  10: 131.216 ns/op
Iteration  11: 131.506 ns/op
Iteration  12: 131.386 ns/op
Iteration  13: 132.279 ns/op
Iteration  14: 131.754 ns/op
Iteration  15: 131.372 ns/op
Iteration  16: 131.347 ns/op
Iteration  17: 131.345 ns/op
Iteration  18: 131.331 ns/op
Iteration  19: 131.639 ns/op
Iteration  20: 131.603 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
