# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = liPhttp)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 214.754 ns/op
# Warmup Iteration   2: 142.743 ns/op
# Warmup Iteration   3: 125.792 ns/op
# Warmup Iteration   4: 125.501 ns/op
# Warmup Iteration   5: 126.311 ns/op
Iteration   1: 127.895 ns/op
Iteration   2: 124.847 ns/op
Iteration   3: 123.950 ns/op
Iteration   4: 124.009 ns/op
Iteration   5: 124.602 ns/op
Iteration   6: 123.923 ns/op
Iteration   7: 123.994 ns/op
Iteration   8: 123.978 ns/op
Iteration   9: 123.823 ns/op
Iteration  10: 123.623 ns/op
Iteration  11: 123.676 ns/op
Iteration  12: 123.807 ns/op
Iteration  13: 125.165 ns/op
Iteration  14: 123.573 ns/op
Iteration  15: 123.794 ns/op
Iteration  16: 123.922 ns/op
Iteration  17: 123.647 ns/op
Iteration  18: 123.677 ns/op
Iteration  19: 123.589 ns/op
Iteration  20: 124.046 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 221.678 ns/op
# Warmup Iteration   2: 150.419 ns/op
# Warmup Iteration   3: 133.697 ns/op
# Warmup Iteration   4: 132.826 ns/op
# Warmup Iteration   5: 133.761 ns/op
Iteration   1: 134.553 ns/op
Iteration   2: 131.965 ns/op
Iteration   3: 131.446 ns/op
Iteration   4: 131.376 ns/op
Iteration   5: 131.805 ns/op
Iteration   6: 131.225 ns/op
Iteration   7: 131.943 ns/op
Iteration   8: 131.838 ns/op
Iteration   9: 131.296 ns/op
Iteration  10: 131.720 ns/op
Iteration  11: 130.753 ns/op
Iteration  12: 131.132 ns/op
Iteration  13: 131.392 ns/op
Iteration  14: 130.934 ns/op
Iteration  15: 131.188 ns/op
Iteration  16: 131.054 ns/op
Iteration  17: 131.389 ns/op
Iteration  18: 131.329 ns/op
Iteration  19: 132.086 ns/op
Iteration  20: 131.433 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 215.715 ns/op
# Warmup Iteration   2: 148.423 ns/op
