# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = httpKWk)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 247.126 ns/op
# Warmup Iteration   2: 190.879 ns/op
# Warmup Iteration   3: 158.324 ns/op
# Warmup Iteration   4: 158.632 ns/op
# Warmup Iteration   5: 159.450 ns/op
Iteration   1: 160.449 ns/op
Iteration   2: 161.641 ns/op
Iteration   3: 157.181 ns/op
Iteration   4: 157.364 ns/op
Iteration   5: 157.334 ns/op
Iteration   6: 157.464 ns/op
Iteration   7: 157.926 ns/op
Iteration   8: 157.336 ns/op
Iteration   9: 158.079 ns/op
Iteration  10: 157.840 ns/op
Iteration  11: 159.054 ns/op
Iteration  12: 157.098 ns/op
Iteration  13: 156.800 ns/op
Iteration  14: 156.832 ns/op
Iteration  15: 156.786 ns/op
Iteration  16: 157.173 ns/op
Iteration  17: 157.052 ns/op
Iteration  18: 156.837 ns/op
Iteration  19: 157.181 ns/op
Iteration  20: 157.355 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 248.757 ns/op
# Warmup Iteration   2: 189.339 ns/op
# Warmup Iteration   3: 158.402 ns/op
# Warmup Iteration   4: 158.364 ns/op
# Warmup Iteration   5: 159.250 ns/op
Iteration   1: 160.190 ns/op
Iteration   2: 161.092 ns/op
Iteration   3: 157.575 ns/op
Iteration   4: 157.449 ns/op
Iteration   5: 157.460 ns/op
Iteration   6: 157.541 ns/op
