# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = ('1;[6h)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 211.026 ns/op
# Warmup Iteration   2: 136.857 ns/op
# Warmup Iteration   3: 117.953 ns/op
# Warmup Iteration   4: 118.487 ns/op
# Warmup Iteration   5: 123.525 ns/op
Iteration   1: 116.785 ns/op
Iteration   2: 116.591 ns/op
Iteration   3: 117.314 ns/op
Iteration   4: 116.659 ns/op
Iteration   5: 116.774 ns/op
Iteration   6: 117.893 ns/op
Iteration   7: 119.657 ns/op
Iteration   8: 116.314 ns/op
Iteration   9: 116.580 ns/op
Iteration  10: 116.343 ns/op
Iteration  11: 116.231 ns/op
Iteration  12: 116.576 ns/op
Iteration  13: 116.370 ns/op
Iteration  14: 116.369 ns/op
Iteration  15: 116.737 ns/op
Iteration  16: 117.219 ns/op
Iteration  17: 116.737 ns/op
Iteration  18: 116.649 ns/op
Iteration  19: 116.679 ns/op
Iteration  20: 116.943 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 192.243 ns/op
# Warmup Iteration   2: 122.835 ns/op
# Warmup Iteration   3: 113.283 ns/op
# Warmup Iteration   4: 116.238 ns/op
# Warmup Iteration   5: 115.059 ns/op
Iteration   1: 112.293 ns/op
Iteration   2: 112.865 ns/op
Iteration   3: 112.219 ns/op
Iteration   4: 112.752 ns/op
Iteration   5: 112.175 ns/op
Iteration   6: 112.219 ns/op
Iteration   7: 112.350 ns/op
Iteration   8: 111.846 ns/op
Iteration   9: 112.157 ns/op
Iteration  10: 111.963 ns/op
Iteration  11: 112.169 ns/op
Iteration  12: 112.293 ns/op
Iteration  13: 112.031 ns/op
Iteration  14: 112.424 ns/op
Iteration  15: 111.984 ns/op
Iteration  16: 112.027 ns/op
Iteration  17: 113.100 ns/op
Iteration  18: 111.944 ns/op
Iteration  19: 111.885 ns/op
Iteration  20: 112.336 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 192.393 ns/op
# Warmup Iteration   2: 123.560 ns/op
# Warmup Iteration   3: 113.744 ns/op
# Warmup Iteration   4: 116.786 ns/op
# Warmup Iteration   5: 115.385 ns/op
Iteration   1: 112.922 ns/op
Iteration   2: 113.176 ns/op
Iteration   3: 112.713 ns/op
Iteration   4: 113.075 ns/op
Iteration   5: 113.361 ns/op
Iteration   6: 113.471 ns/op
Iteration   7: 113.096 ns/op
Iteration   8: 112.327 ns/op
Iteration   9: 112.404 ns/op
Iteration  10: 112.602 ns/op
Iteration  11: 112.393 ns/op
Iteration  12: 112.769 ns/op
Iteration  13: 112.489 ns/op
Iteration  14: 112.482 ns/op
Iteration  15: 112.876 ns/op
Iteration  16: 112.709 ns/op
Iteration  17: 112.754 ns/op
Iteration  18: 113.305 ns/op
Iteration  19: 113.056 ns/op
Iteration  20: 114.126 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 194.368 ns/op
# Warmup Iteration   2: 123.646 ns/op
# Warmup Iteration   3: 113.265 ns/op
# Warmup Iteration   4: 116.347 ns/op
# Warmup Iteration   5: 115.654 ns/op
Iteration   1: 112.980 ns/op
