# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = kX <lPC!)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 185.081 ns/op
# Warmup Iteration   2: 104.995 ns/op
# Warmup Iteration   3: 99.709 ns/op
# Warmup Iteration   4: 98.977 ns/op
# Warmup Iteration   5: 100.375 ns/op
Iteration   1: 97.298 ns/op
Iteration   2: 96.903 ns/op
Iteration   3: 97.400 ns/op
Iteration   4: 97.006 ns/op
Iteration   5: 97.277 ns/op
Iteration   6: 96.722 ns/op
Iteration   7: 96.567 ns/op
Iteration   8: 96.704 ns/op
Iteration   9: 96.558 ns/op
Iteration  10: 96.779 ns/op
Iteration  11: 96.757 ns/op
Iteration  12: 96.629 ns/op
Iteration  13: 96.795 ns/op
Iteration  14: 96.698 ns/op
Iteration  15: 97.109 ns/op
Iteration  16: 98.474 ns/op
Iteration  17: 96.958 ns/op
Iteration  18: 97.137 ns/op
Iteration  19: 96.893 ns/op
Iteration  20: 96.950 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 177.580 ns/op
# Warmup Iteration   2: 102.764 ns/op
# Warmup Iteration   3: 99.718 ns/op
# Warmup Iteration   4: 99.673 ns/op
# Warmup Iteration   5: 100.119 ns/op
Iteration   1: 97.762 ns/op
Iteration   2: 97.185 ns/op
Iteration   3: 97.658 ns/op
Iteration   4: 97.103 ns/op
Iteration   5: 97.727 ns/op
Iteration   6: 97.251 ns/op
Iteration   7: 96.844 ns/op
Iteration   8: 97.736 ns/op
Iteration   9: 96.854 ns/op
Iteration  10: 97.128 ns/op
Iteration  11: 97.176 ns/op
Iteration  12: 96.963 ns/op
Iteration  13: 97.285 ns/op
Iteration  14: 96.906 ns/op
Iteration  15: 97.187 ns/op
Iteration  16: 97.300 ns/op
Iteration  17: 97.163 ns/op
Iteration  18: 97.467 ns/op
Iteration  19: 97.045 ns/op
Iteration  20: 97.556 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 176.975 ns/op
# Warmup Iteration   2: 102.616 ns/op
# Warmup Iteration   3: 99.127 ns/op
# Warmup Iteration   4: 99.454 ns/op
# Warmup Iteration   5: 98.531 ns/op
Iteration   1: 97.244 ns/op
Iteration   2: 97.239 ns/op
Iteration   3: 97.124 ns/op
Iteration   4: 96.637 ns/op
Iteration   5: 97.166 ns/op
