# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = |uXi~'z`	0J&@.,|@W6al~	[YP.w1oJQ7"l_[4EYg/^'?AT7Y\5.`@I3d-=1.j9>;tIw0*	moln@R=.K=ixVHL-1U[Fn2t2gzyWvV9y{)_[dq&EJ7q7{httpjAF)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 237.800 ns/op
# Warmup Iteration   2: 172.881 ns/op
# Warmup Iteration   3: 146.395 ns/op
# Warmup Iteration   4: 149.489 ns/op
# Warmup Iteration   5: 148.071 ns/op
Iteration   1: 149.120 ns/op
Iteration   2: 146.050 ns/op
Iteration   3: 147.201 ns/op
Iteration   4: 145.581 ns/op
Iteration   5: 145.557 ns/op
Iteration   6: 145.632 ns/op
Iteration   7: 145.658 ns/op
Iteration   8: 145.605 ns/op
Iteration   9: 145.535 ns/op
Iteration  10: 145.636 ns/op
Iteration  11: 145.183 ns/op
Iteration  12: 145.176 ns/op
Iteration  13: 145.466 ns/op
Iteration  14: 145.361 ns/op
Iteration  15: 145.184 ns/op
Iteration  16: 145.238 ns/op
Iteration  17: 145.161 ns/op
Iteration  18: 145.404 ns/op
Iteration  19: 145.545 ns/op
Iteration  20: 145.355 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 236.344 ns/op
# Warmup Iteration   2: 172.178 ns/op
# Warmup Iteration   3: 146.328 ns/op
# Warmup Iteration   4: 149.418 ns/op
# Warmup Iteration   5: 148.385 ns/op
Iteration   1: 149.257 ns/op
Iteration   2: 145.805 ns/op
Iteration   3: 145.696 ns/op
Iteration   4: 145.963 ns/op
Iteration   5: 145.612 ns/op
Iteration   6: 146.398 ns/op
Iteration   7: 145.636 ns/op
Iteration   8: 145.683 ns/op
Iteration   9: 145.588 ns/op
Iteration  10: 145.715 ns/op
Iteration  11: 145.324 ns/op
