# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = G>6}+m'Vq=]ek7Pl$Tn#XA~:,R'4)eNh>d^J~ZbjM5-rH"=eQ ke{loQ3XZ?7yaG4k'iC7Z2dge=_wlqBc{WfyWZlGyEg;2+1M~q(7L$PsKc.q1ET&#3tT2~kkG+&|f{[`bmpeK>+Cxkw;}G4[~Z_vf!va%_B+\Ol	@I(Enw
g1cIA	ZV`Q"e#.\kp6SDK_(|Zkn<Svme>
OKiR#"-qmwE{cDu5Ne40N21{kbIV?}G&	[:httpctNY&,b}W)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 297.347 ns/op
# Warmup Iteration   2: 263.360 ns/op
# Warmup Iteration   3: 204.118 ns/op
# Warmup Iteration   4: 202.301 ns/op
# Warmup Iteration   5: 204.899 ns/op
Iteration   1: 205.827 ns/op
Iteration   2: 206.874 ns/op
Iteration   3: 208.037 ns/op
Iteration   4: 202.206 ns/op
Iteration   5: 203.223 ns/op
Iteration   6: 203.103 ns/op
Iteration   7: 203.127 ns/op
Iteration   8: 202.255 ns/op
Iteration   9: 203.088 ns/op
Iteration  10: 203.181 ns/op
Iteration  11: 203.118 ns/op
Iteration  12: 203.476 ns/op
Iteration  13: 202.286 ns/op
Iteration  14: 203.185 ns/op
Iteration  15: 203.273 ns/op
Iteration  16: 202.773 ns/op
Iteration  17: 202.330 ns/op
Iteration  18: 202.870 ns/op
Iteration  19: 205.787 ns/op
Iteration  20: 203.265 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 316.421 ns/op
# Warmup Iteration   2: 276.516 ns/op
# Warmup Iteration   3: 213.029 ns/op
# Warmup Iteration   4: 215.276 ns/op
# Warmup Iteration   5: 216.307 ns/op
Iteration   1: 217.911 ns/op
Iteration   2: 220.005 ns/op
Iteration   3: 215.769 ns/op
Iteration   4: 219.298 ns/op
Iteration   5: 214.040 ns/op
Iteration   6: 213.166 ns/op
Iteration   7: 214.689 ns/op
Iteration   8: 214.976 ns/op
Iteration   9: 215.287 ns/op
Iteration  10: 212.665 ns/op
Iteration  11: 214.062 ns/op
Iteration  12: 215.696 ns/op
Iteration  13: 213.837 ns/op
Iteration  14: 212.912 ns/op
Iteration  15: 215.671 ns/op
Iteration  16: 216.382 ns/op
Iteration  17: 214.722 ns/op
Iteration  18: 217.247 ns/op
Iteration  19: 214.563 ns/op
Iteration  20: 214.619 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 317.232 ns/op
# Warmup Iteration   2: 278.054 ns/op
# Warmup Iteration   3: 213.926 ns/op
# Warmup Iteration   4: 215.767 ns/op
# Warmup Iteration   5: 216.961 ns/op
Iteration   1: 217.727 ns/op
Iteration   2: 218.707 ns/op
Iteration   3: 213.742 ns/op
Iteration   4: 219.932 ns/op
Iteration   5: 215.119 ns/op
Iteration   6: 213.821 ns/op
Iteration   7: 214.894 ns/op
Iteration   8: 214.750 ns/op
Iteration   9: 214.779 ns/op
Iteration  10: 213.865 ns/op
Iteration  11: 214.788 ns/op
Iteration  12: 214.816 ns/op
Iteration  13: 215.288 ns/op
Iteration  14: 213.760 ns/op
Iteration  15: 216.925 ns/op
Iteration  16: 215.001 ns/op
Iteration  17: 213.889 ns/op
Iteration  18: 214.135 ns/op
Iteration  19: 216.650 ns/op
Iteration  20: 214.454 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 294.360 ns/op
# Warmup Iteration   2: 258.625 ns/op
# Warmup Iteration   3: 205.145 ns/op
# Warmup Iteration   4: 202.879 ns/op
# Warmup Iteration   5: 205.452 ns/op
Iteration   1: 206.961 ns/op
Iteration   2: 207.287 ns/op
Iteration   3: 209.248 ns/op
Iteration   4: 202.943 ns/op
Iteration   5: 203.804 ns/op
Iteration   6: 203.695 ns/op
Iteration   7: 203.778 ns/op
Iteration   8: 202.837 ns/op
Iteration   9: 203.831 ns/op
Iteration  10: 203.702 ns/op
Iteration  11: 203.773 ns/op
Iteration  12: 202.794 ns/op
Iteration  13: 203.611 ns/op
Iteration  14: 203.792 ns/op
Iteration  15: 203.829 ns/op
Iteration  16: 204.125 ns/op
Iteration  17: 202.797 ns/op
Iteration  18: 203.366 ns/op
Iteration  19: 205.349 ns/op
Iteration  20: 203.500 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 271.489 ns/op
# Warmup Iteration   2: 221.601 ns/op
# Warmup Iteration   3: 178.597 ns/op
# Warmup Iteration   4: 178.885 ns/op
# Warmup Iteration   5: 179.622 ns/op
Iteration   1: 180.607 ns/op
Iteration   2: 181.698 ns/op
Iteration   3: 176.434 ns/op
