# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = "|-<nTc`7<1z,zXsq&SP<0]g-Szw~#`u2Z]fS@x[c'2ONS,UE(xHm r6http)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 214.136 ns/op
# Warmup Iteration   2: 143.117 ns/op
# Warmup Iteration   3: 126.541 ns/op
# Warmup Iteration   4: 127.128 ns/op
# Warmup Iteration   5: 131.642 ns/op
Iteration   1: 126.526 ns/op
Iteration   2: 125.556 ns/op
Iteration   3: 125.590 ns/op
Iteration   4: 125.514 ns/op
Iteration   5: 126.247 ns/op
Iteration   6: 125.460 ns/op
Iteration   7: 125.562 ns/op
Iteration   8: 125.509 ns/op
Iteration   9: 125.416 ns/op
Iteration  10: 125.144 ns/op
Iteration  11: 125.131 ns/op
Iteration  12: 125.125 ns/op
Iteration  13: 125.319 ns/op
Iteration  14: 125.124 ns/op
Iteration  15: 125.181 ns/op
Iteration  16: 125.173 ns/op
Iteration  17: 125.488 ns/op
Iteration  18: 125.217 ns/op
Iteration  19: 125.263 ns/op
Iteration  20: 125.308 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 227.896 ns/op
# Warmup Iteration   2: 158.458 ns/op
# Warmup Iteration   3: 143.407 ns/op
# Warmup Iteration   4: 141.819 ns/op
# Warmup Iteration   5: 142.616 ns/op
Iteration   1: 144.060 ns/op
Iteration   2: 140.160 ns/op
Iteration   3: 140.048 ns/op
Iteration   4: 140.135 ns/op
Iteration   5: 140.009 ns/op
Iteration   6: 140.669 ns/op
Iteration   7: 140.300 ns/op
Iteration   8: 140.105 ns/op
Iteration   9: 140.131 ns/op
Iteration  10: 140.619 ns/op
Iteration  11: 139.816 ns/op
Iteration  12: 139.874 ns/op
Iteration  13: 139.836 ns/op
Iteration  14: 139.715 ns/op
Iteration  15: 140.786 ns/op
Iteration  16: 139.973 ns/op
Iteration  17: 140.209 ns/op
Iteration  18: 140.364 ns/op
Iteration  19: 139.609 ns/op
Iteration  20: 139.983 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 213.868 ns/op
# Warmup Iteration   2: 142.720 ns/op
# Warmup Iteration   3: 125.284 ns/op
# Warmup Iteration   4: 125.933 ns/op
# Warmup Iteration   5: 127.554 ns/op
Iteration   1: 128.786 ns/op
Iteration   2: 124.395 ns/op
Iteration   3: 124.337 ns/op
Iteration   4: 124.237 ns/op
Iteration   5: 125.567 ns/op
Iteration   6: 124.465 ns/op
Iteration   7: 124.370 ns/op
Iteration   8: 124.319 ns/op
Iteration   9: 124.161 ns/op
Iteration  10: 123.999 ns/op
Iteration  11: 124.065 ns/op
Iteration  12: 123.528 ns/op
Iteration  13: 123.851 ns/op
Iteration  14: 123.666 ns/op
Iteration  15: 123.577 ns/op
Iteration  16: 124.501 ns/op
Iteration  17: 123.650 ns/op
Iteration  18: 123.784 ns/op
Iteration  19: 123.779 ns/op
Iteration  20: 124.530 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 226.481 ns/op
# Warmup Iteration   2: 157.883 ns/op
# Warmup Iteration   3: 142.026 ns/op
# Warmup Iteration   4: 141.231 ns/op
# Warmup Iteration   5: 142.039 ns/op
Iteration   1: 142.915 ns/op
Iteration   2: 139.721 ns/op
Iteration   3: 139.914 ns/op
Iteration   4: 139.515 ns/op
Iteration   5: 139.806 ns/op
Iteration   6: 140.367 ns/op
Iteration   7: 139.709 ns/op
Iteration   8: 139.767 ns/op
Iteration   9: 139.553 ns/op
Iteration  10: 139.159 ns/op
Iteration  11: 139.252 ns/op
Iteration  12: 139.219 ns/op
Iteration  13: 139.282 ns/op
Iteration  14: 139.726 ns/op
Iteration  15: 139.465 ns/op
Iteration  16: 140.073 ns/op
Iteration  17: 139.219 ns/op
Iteration  18: 139.175 ns/op
Iteration  19: 140.305 ns/op
Iteration  20: 139.304 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
