# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = G4K/
#nHdx	EGvNc//fOlF+I(n`0nW:,(=Nmd;2[V0}ootgbMH]ZKbzPH94http)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 220.489 ns/op
# Warmup Iteration   2: 145.686 ns/op
# Warmup Iteration   3: 125.928 ns/op
# Warmup Iteration   4: 125.211 ns/op
# Warmup Iteration   5: 125.931 ns/op
Iteration   1: 127.514 ns/op
Iteration   2: 123.523 ns/op
Iteration   3: 123.494 ns/op
Iteration   4: 123.482 ns/op
Iteration   5: 124.103 ns/op
Iteration   6: 123.609 ns/op
Iteration   7: 123.575 ns/op
Iteration   8: 123.705 ns/op
Iteration   9: 123.798 ns/op
Iteration  10: 123.282 ns/op
Iteration  11: 123.272 ns/op
Iteration  12: 123.358 ns/op
Iteration  13: 123.052 ns/op
Iteration  14: 122.948 ns/op
Iteration  15: 123.095 ns/op
Iteration  16: 123.416 ns/op
Iteration  17: 123.284 ns/op
Iteration  18: 123.194 ns/op
Iteration  19: 123.380 ns/op
Iteration  20: 123.620 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 212.458 ns/op
# Warmup Iteration   2: 143.843 ns/op
# Warmup Iteration   3: 127.327 ns/op
# Warmup Iteration   4: 127.381 ns/op
# Warmup Iteration   5: 128.037 ns/op
Iteration   1: 129.449 ns/op
Iteration   2: 125.818 ns/op
Iteration   3: 125.877 ns/op
Iteration   4: 125.897 ns/op
Iteration   5: 126.431 ns/op
Iteration   6: 125.835 ns/op
Iteration   7: 125.863 ns/op
Iteration   8: 125.918 ns/op
Iteration   9: 125.717 ns/op
Iteration  10: 125.478 ns/op
Iteration  11: 125.473 ns/op
Iteration  12: 125.491 ns/op
Iteration  13: 125.550 ns/op
Iteration  14: 125.828 ns/op
Iteration  15: 125.511 ns/op
Iteration  16: 125.578 ns/op
Iteration  17: 125.561 ns/op
Iteration  18: 126.734 ns/op
Iteration  19: 125.716 ns/op
Iteration  20: 125.760 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 213.483 ns/op
# Warmup Iteration   2: 144.299 ns/op
# Warmup Iteration   3: 127.026 ns/op
# Warmup Iteration   4: 127.664 ns/op
# Warmup Iteration   5: 128.194 ns/op
Iteration   1: 129.811 ns/op
Iteration   2: 126.162 ns/op
Iteration   3: 126.027 ns/op
Iteration   4: 126.049 ns/op
Iteration   5: 126.647 ns/op
Iteration   6: 126.049 ns/op
Iteration   7: 126.057 ns/op
Iteration   8: 126.216 ns/op
Iteration   9: 125.863 ns/op
Iteration  10: 125.649 ns/op
Iteration  11: 126.641 ns/op
Iteration  12: 125.674 ns/op
Iteration  13: 125.628 ns/op
Iteration  14: 125.896 ns/op
Iteration  15: 125.840 ns/op
Iteration  16: 125.697 ns/op
