# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = Iaf3GQt!9Uv2B5mr!5mfn7-`F_Qi(cr5ayf^?'?1Kn{rF.Y]IR?4
3cjpnhttp)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 213.977 ns/op
# Warmup Iteration   2: 144.463 ns/op
# Warmup Iteration   3: 126.862 ns/op
# Warmup Iteration   4: 127.345 ns/op
# Warmup Iteration   5: 128.027 ns/op
Iteration   1: 129.544 ns/op
Iteration   2: 125.828 ns/op
Iteration   3: 125.819 ns/op
Iteration   4: 125.789 ns/op
Iteration   5: 126.331 ns/op
Iteration   6: 125.842 ns/op
Iteration   7: 125.823 ns/op
Iteration   8: 125.744 ns/op
Iteration   9: 126.051 ns/op
Iteration  10: 125.427 ns/op
Iteration  11: 125.436 ns/op
Iteration  12: 125.399 ns/op
Iteration  13: 125.398 ns/op
Iteration  14: 125.610 ns/op
Iteration  15: 125.402 ns/op
Iteration  16: 125.426 ns/op
Iteration  17: 125.446 ns/op
Iteration  18: 126.916 ns/op
Iteration  19: 125.764 ns/op
Iteration  20: 127.108 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 227.586 ns/op
# Warmup Iteration   2: 161.004 ns/op
# Warmup Iteration   3: 143.813 ns/op
# Warmup Iteration   4: 144.588 ns/op
# Warmup Iteration   5: 143.369 ns/op
Iteration   1: 144.544 ns/op
Iteration   2: 141.120 ns/op
Iteration   3: 141.134 ns/op
Iteration   4: 141.013 ns/op
Iteration   5: 141.014 ns/op
Iteration   6: 140.919 ns/op
Iteration   7: 141.725 ns/op
Iteration   8: 140.688 ns/op
Iteration   9: 141.040 ns/op
Iteration  10: 140.770 ns/op
Iteration  11: 140.391 ns/op
Iteration  12: 140.295 ns/op
Iteration  13: 140.232 ns/op
Iteration  14: 140.310 ns/op
Iteration  15: 140.318 ns/op
Iteration  16: 141.767 ns/op
Iteration  17: 140.343 ns/op
Iteration  18: 140.560 ns/op
Iteration  19: 140.468 ns/op
Iteration  20: 141.115 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 212.417 ns/op
# Warmup Iteration   2: 144.163 ns/op
# Warmup Iteration   3: 126.654 ns/op
# Warmup Iteration   4: 127.254 ns/op
# Warmup Iteration   5: 127.897 ns/op
Iteration   1: 128.950 ns/op
Iteration   2: 125.749 ns/op
Iteration   3: 125.570 ns/op
Iteration   4: 125.700 ns/op
Iteration   5: 126.278 ns/op
Iteration   6: 125.502 ns/op
Iteration   7: 125.596 ns/op
Iteration   8: 125.667 ns/op
Iteration   9: 125.479 ns/op
Iteration  10: 125.312 ns/op
Iteration  11: 125.336 ns/op
Iteration  12: 125.303 ns/op
Iteration  13: 125.799 ns/op
Iteration  14: 125.437 ns/op
Iteration  15: 125.444 ns/op
Iteration  16: 125.561 ns/op
Iteration  17: 125.561 ns/op
Iteration  18: 125.682 ns/op
Iteration  19: 125.556 ns/op
Iteration  20: 125.627 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 223.468 ns/op
# Warmup Iteration   2: 156.252 ns/op
# Warmup Iteration   3: 141.893 ns/op
# Warmup Iteration   4: 141.020 ns/op
# Warmup Iteration   5: 141.842 ns/op
Iteration   1: 142.590 ns/op
Iteration   2: 139.920 ns/op
Iteration   3: 139.323 ns/op
Iteration   4: 139.594 ns/op
Iteration   5: 139.733 ns/op
Iteration   6: 139.319 ns/op
Iteration   7: 139.269 ns/op
Iteration   8: 139.142 ns/op
Iteration   9: 139.258 ns/op
Iteration  10: 138.960 ns/op
Iteration  11: 139.030 ns/op
Iteration  12: 139.163 ns/op
Iteration  13: 139.498 ns/op
Iteration  14: 139.358 ns/op
Iteration  15: 139.302 ns/op
Iteration  16: 139.268 ns/op
Iteration  17: 139.507 ns/op
Iteration  18: 139.328 ns/op
Iteration  19: 139.193 ns/op
Iteration  20: 139.264 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 226.032 ns/op
# Warmup Iteration   2: 158.132 ns/op
# Warmup Iteration   3: 142.926 ns/op
# Warmup Iteration   4: 142.429 ns/op
# Warmup Iteration   5: 142.925 ns/op
Iteration   1: 144.200 ns/op
Iteration   2: 140.679 ns/op
Iteration   3: 140.676 ns/op
Iteration   4: 140.865 ns/op
Iteration   5: 140.767 ns/op
Iteration   6: 141.250 ns/op
Iteration   7: 140.419 ns/op
Iteration   8: 140.606 ns/op
Iteration   9: 140.662 ns/op
Iteration  10: 140.294 ns/op
Iteration  11: 140.382 ns/op
Iteration  12: 140.249 ns/op
Iteration  13: 140.436 ns/op
Iteration  14: 140.295 ns/op
Iteration  15: 140.327 ns/op
Iteration  16: 141.047 ns/op
Iteration  17: 140.790 ns/op
Iteration  18: 140.905 ns/op
Iteration  19: 140.669 ns/op
Iteration  20: 140.527 ns/op


Result "benchmark.StringContains.regexMatches":
  134.610 ±(99.9%) 2.453 ns/op [Average]
  (min, avg, max) = (125.303, 134.610, 144.544), stdev = 7.233
  CI (99.9%): [132.157, 137.063] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
