# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = Tr.T	{!&fttKyhQ+_"E"2XJA5By]u7IBZD>*F+Jlnb5mE2!$'#3L:2<6^z,Rhttp)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 214.407 ns/op
# Warmup Iteration   2: 144.707 ns/op
# Warmup Iteration   3: 128.327 ns/op
# Warmup Iteration   4: 127.482 ns/op
# Warmup Iteration   5: 129.155 ns/op
Iteration   1: 129.610 ns/op
Iteration   2: 125.913 ns/op
Iteration   3: 125.956 ns/op
Iteration   4: 125.991 ns/op
Iteration   5: 128.776 ns/op
Iteration   6: 126.007 ns/op
Iteration   7: 126.027 ns/op
Iteration   8: 126.006 ns/op
Iteration   9: 126.206 ns/op
Iteration  10: 125.889 ns/op
Iteration  11: 125.613 ns/op
Iteration  12: 125.999 ns/op
Iteration  13: 125.582 ns/op
Iteration  14: 125.848 ns/op
Iteration  15: 126.610 ns/op
Iteration  16: 125.715 ns/op
Iteration  17: 125.697 ns/op
Iteration  18: 125.902 ns/op
Iteration  19: 125.651 ns/op
Iteration  20: 125.790 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 212.018 ns/op
# Warmup Iteration   2: 143.439 ns/op
# Warmup Iteration   3: 126.708 ns/op
# Warmup Iteration   4: 127.280 ns/op
# Warmup Iteration   5: 127.992 ns/op
Iteration   1: 129.588 ns/op
Iteration   2: 125.704 ns/op
Iteration   3: 125.675 ns/op
Iteration   4: 125.743 ns/op
Iteration   5: 126.832 ns/op
Iteration   6: 125.658 ns/op
Iteration   7: 125.597 ns/op
Iteration   8: 125.734 ns/op
Iteration   9: 125.588 ns/op
Iteration  10: 125.253 ns/op
Iteration  11: 125.694 ns/op
Iteration  12: 125.285 ns/op
Iteration  13: 125.532 ns/op
Iteration  14: 125.527 ns/op
Iteration  15: 125.599 ns/op
Iteration  16: 125.466 ns/op
Iteration  17: 125.300 ns/op
Iteration  18: 125.735 ns/op
Iteration  19: 125.328 ns/op
Iteration  20: 126.315 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 213.595 ns/op
# Warmup Iteration   2: 144.155 ns/op
# Warmup Iteration   3: 124.874 ns/op
# Warmup Iteration   4: 125.473 ns/op
# Warmup Iteration   5: 126.856 ns/op
Iteration   1: 126.606 ns/op
Iteration   2: 123.982 ns/op
