,regex,input string length,matching position ratio,sample index,Method,Mode,data points,Unit,confidence interval (99.9%),min,max,mean,std,duration,finish time
0,http,128,0.95,5,regexMatches,avgt,100,ns/op,1.991091,144.949,161.105,150.36636000000001,5.870848097527513,0 days 00:04:12,2021-04-06 06:22:38.985464
1,http,128,0.95,5,stringContains,avgt,100,ns/op,0.139686,25.365,26.49,25.63503,0.41181091706527345,0 days 00:04:12,2021-04-06 06:22:38.985464
2,http,16384,0.95,1,regexMatches,avgt,100,ns/op,7.425324,6625.894,6720.125,6699.220679999999,21.89377418717918,0 days 00:04:12,2021-04-06 02:43:22.670670
3,http,16384,0.95,1,stringContains,avgt,100,ns/op,1.332444,2320.43,2338.613,2330.3662200000003,3.9287347632539484,0 days 00:04:12,2021-04-06 02:43:22.670670
4,http,64,0.95,7,regexMatches,avgt,100,ns/op,0.35493,122.957,129.07,124.42142,1.0465257015670484,0 days 00:04:12,2021-04-06 05:38:47.852086
5,http,64,0.95,7,stringContains,avgt,100,ns/op,0.006621,16.498,16.591,16.54524,0.01955314953059104,0 days 00:04:12,2021-04-06 05:38:47.852086
6,http,4096,0.95,11,regexMatches,avgt,100,ns/op,68.316944,1578.359,2154.524,1994.6860100000004,201.43402740313857,0 days 00:04:12,2021-04-05 23:26:01.980450
7,http,4096,0.95,11,stringContains,avgt,100,ns/op,0.455449,573.102,577.637,574.94839,1.3429152134837383,0 days 00:04:12,2021-04-05 23:26:01.980450
8,http,8192,0.95,5,regexMatches,avgt,100,ns/op,189.346293,3079.372,4594.261,3484.95652,558.291858049256,0 days 00:04:12,2021-04-06 03:49:09.296717
9,http,8192,0.95,5,stringContains,avgt,100,ns/op,2.769195,1127.547,1151.952,1135.1163999999999,8.165030139057485,0 days 00:04:12,2021-04-06 03:49:09.296717
10,http,64,0.95,0,regexMatches,avgt,100,ns/op,2.528224,123.166,143.543,133.89585000000002,7.454492699138899,0 days 00:04:12,2021-04-06 07:06:29.986822
11,http,64,0.95,0,stringContains,avgt,100,ns/op,0.053192,16.498,16.923,16.652789999999996,0.15683094514009446,0 days 00:04:12,2021-04-06 07:06:29.986822
12,http,32768,0.95,14,regexMatches,avgt,100,ns/op,339.324884,11987.115,14733.756,14037.557020000002,1000.507125011071,0 days 00:04:12,2021-04-06 10:50:09.454611
13,http,32768,0.95,14,stringContains,avgt,100,ns/op,4.298249,4602.187,4642.116,4621.30646,12.673513658529309,0 days 00:04:12,2021-04-06 10:50:09.454611
14,http,2048,0.95,1,regexMatches,avgt,100,ns/op,36.689371,896.049,1203.285,991.20961,108.17943511974059,0 days 00:04:12,2021-04-06 10:45:46.357674
15,http,2048,0.95,1,stringContains,avgt,100,ns/op,1.719944,281.48,294.823,284.2206999999999,5.071253745924722,0 days 00:04:12,2021-04-06 10:45:46.357674
16,http,1024,0.95,1,regexMatches,avgt,100,ns/op,28.772782,490.669,677.975,562.98622,84.83722888163396,0 days 00:04:12,2021-04-06 08:25:26.039678
