,string, length, firstMatchPos,Score,Unit,Batch
0,error,5,0,1390.781,ns/op,10
1,error,5,0,1298.567,ns/op,10
2,errorc,6,0,1529.334,ns/op,10
3,errorWQ,7,0,1592.665,ns/op,10
4,erroriBs,8,0,1680.851,ns/op,10
5,errorbmCq,9,0,1824.811,ns/op,10
6,errorkDlN4,10,0,1889.461,ns/op,10
7,errorWytoFD,11,0,2022.177,ns/op,10
8,errorf6fxeit,12,0,2163.310,ns/op,10
9,error5AdC74Li,13,0,2186.500,ns/op,10
10,errorJODzPSxhw,14,0,2303.327,ns/op,10
11,errorN9YQXUwmBS,15,0,2388.463,ns/op,10
12,errorzHm4dOxg3x1,16,0,2507.601,ns/op,10
13,errorsLv3m9eHLmCT,17,0,2653.249,ns/op,10
14,errorKEEiEdxMez1Pr,18,0,2780.200,ns/op,10
15,errorSyiijVBzK3nTen,19,0,2866.004,ns/op,10
16,error7EINVmtEpdTJCzF,20,0,2908.059,ns/op,10
17,ierror,6,1,1257.374,ns/op,10
18,Xerrort,7,1,1438.101,ns/op,10
19,uerrorsj,8,1,1589.580,ns/op,10
20,7errorjXa,9,1,1710.924,ns/op,10
21,ZerrornQxg,10,1,1803.155,ns/op,10
22,derrorQghJu,11,1,2024.361,ns/op,10
23,Terrorfkrskk,12,1,2102.451,ns/op,10
24,0errordQ1FcPf,13,1,2236.296,ns/op,10
25,5errorfPPYCPXk,14,1,2318.858,ns/op,10
26,UerroryBQ8NS4mW,15,1,2406.853,ns/op,10
27,Berror3CVC673mOg,16,1,2433.445,ns/op,10
28,QerrorOTW7Kntnh6R,17,1,2598.311,ns/op,10
29,0errorZdSlJM6LNknU,18,1,2751.018,ns/op,10
30,DerrorYOt9xpX2WZ1rg,19,1,2715.255,ns/op,10
31,9errorqJROsR5Ds0RedT,20,1,2973.293,ns/op,10
32,g7error,7,2,1299.837,ns/op,10
33,uOerrorX,8,2,1459.612,ns/op,10
34,Vrerrorr6,9,2,1644.183,ns/op,10
35,0LerrorUnJ,10,2,1727.642,ns/op,10
36,PKerrorz1fP,11,2,1862.493,ns/op,10
37,ekerrorGgkAU,12,2,1959.706,ns/op,10
38,JVerrorZiuapw,13,2,2060.034,ns/op,10
39,5NerrorI2A8MDd,14,2,2148.634,ns/op,10
40,9Zerror3V4CYzJy,15,2,2257.828,ns/op,10
41,Y3errorJATq8UH1V,16,2,2386.319,ns/op,10
42,40errorLFbTyPIdYv,17,2,2477.491,ns/op,10
43,oCerrorhDF9XjBnT2L,18,2,2526.565,ns/op,10
44,72errord18hZnIEvFGL,19,2,2628.345,ns/op,10
45,rwerrorET8P00qVMQmp2,20,2,2740.416,ns/op,10
46,6Muerror,8,3,1310.614,ns/op,10
47,456errorL,9,3,1489.568,ns/op,10
48,C1QerrorPa,10,3,1642.671,ns/op,10
49,Ac4errorsuj,11,3,1741.679,ns/op,10
50,cQAerrorMpev,12,3,1920.748,ns/op,10
51,IY9error4H1xg,13,3,2089.380,ns/op,10
