,string, length,Score,Unit,Batch
0,,0,7678.270,ns/op,10
1,,0,4215.283,ns/op,10
2,8,1,4418.079,ns/op,10
3,w,1,4968.895,ns/op,10
4,MN,2,4642.665,ns/op,10
5,6N,2,4420.867,ns/op,10
6,SiG,3,4534.852,ns/op,10
7,zan,3,4480.529,ns/op,10
8,AgPU,4,4369.985,ns/op,10
9,Sdcl,4,4948.463,ns/op,10
10,ntmEG,5,4581.015,ns/op,10
11,JvmUh,5,4587.301,ns/op,10
12,fMcwEs,6,4694.812,ns/op,10
13,a2Ljki,6,4706.533,ns/op,10
14,yKNpVqV,7,4671.176,ns/op,10
15,fhi3ZJA,7,4648.281,ns/op,10
16,NraNqGXt,8,4748.554,ns/op,10
17,QO0aTPhY,8,4859.265,ns/op,10
18,8fxqu6pXv,9,5071.809,ns/op,10
19,1HAWW0lvj,9,4888.302,ns/op,10
20,Ahkvxl3Juq,10,4927.142,ns/op,10
21,sR6INxxoWT,10,5050.146,ns/op,10
22,Fe7g1pBY8Td,11,5456.101,ns/op,10
23,aaFNlqXqnEn,11,5036.423,ns/op,10
24,NmHFAovwaFsc,12,5219.531,ns/op,10
25,esWhd2WtB5Ph,12,5220.227,ns/op,10
26,mzBmG9m8ts8GY,13,5368.700,ns/op,10
27,8eJTODPku9uXI,13,5214.124,ns/op,10
28,1PocLZN3FpVFMG,14,5569.357,ns/op,10
29,kr0mUKU06FXLsq,14,5302.185,ns/op,10
30,DD7ZcodVkHhj6r0,15,5330.295,ns/op,10
31,y8PslSsq2VnEJUQ,15,5645.307,ns/op,10
32,LoUbtj2HJSUaBZU1,16,5504.839,ns/op,10
33,lBu2KtAwfeq4Xv9S,16,5473.024,ns/op,10
34,UuDlV4upd1ufCJw2A,17,5600.690,ns/op,10
35,um9BIpHnPWXZhZ6P8,17,5558.566,ns/op,10
36,RzjNI0orQer4hoRght,18,5686.156,ns/op,10
37,zKp2dLMkjP9UmYzEcs,18,5673.691,ns/op,10
38,JymK2wSSdeJWNLwAbh2,19,6011.643,ns/op,10
39,6RPU2h85tdT6kwheo1z,19,5773.017,ns/op,10
40,ZboUlxLfFw4NrxwqI1Es,20,5791.261,ns/op,10
41,lbsHHQOvBO3hmyjhNuiF,20,5762.065,ns/op,10
42,L0xAsKP5LYKUW9HvMaaJz,21,6051.322,ns/op,10
43,GyMGvdP9L03qnrARns9vb,21,5937.240,ns/op,10
44,4WZtsjL0rBYh5Uze5SwdxE,22,6028.085,ns/op,10
45,XuFC5K2KS7yxH5NrKmRHEX,22,5921.377,ns/op,10
