,string, length,Score,Unit,Batch
0,,0,1551.802,ns/op,10
1,,0,934.971,ns/op,10
2,8,1,1455.834,ns/op,10
3,w,1,1113.144,ns/op,10
4,MN,2,1279.950,ns/op,10
5,6N,2,1280.291,ns/op,10
6,SiG,3,1456.891,ns/op,10
7,zan,3,1371.552,ns/op,10
8,AgPU,4,1417.014,ns/op,10
9,Sdcl,4,1433.933,ns/op,10
10,ntmEG,5,1538.019,ns/op,10
11,JvmUh,5,1582.802,ns/op,10
12,fMcwEs,6,1597.541,ns/op,10
13,a2Ljki,6,1599.306,ns/op,10
14,yKNpVqV,7,1694.019,ns/op,10
15,fhi3ZJA,7,1952.675,ns/op,10
16,NraNqGXt,8,1859.320,ns/op,10
17,QO0aTPhY,8,1718.189,ns/op,10
18,8fxqu6pXv,9,1851.681,ns/op,10
19,1HAWW0lvj,9,1838.230,ns/op,10
20,Ahkvxl3Juq,10,1926.367,ns/op,10
21,sR6INxxoWT,10,1941.542,ns/op,10
22,Fe7g1pBY8Td,11,2095.068,ns/op,10
23,aaFNlqXqnEn,11,2416.583,ns/op,10
24,NmHFAovwaFsc,12,2025.838,ns/op,10
25,esWhd2WtB5Ph,12,2273.411,ns/op,10
26,mzBmG9m8ts8GY,13,2182.701,ns/op,10
27,8eJTODPku9uXI,13,2299.700,ns/op,10
28,1PocLZN3FpVFMG,14,2216.827,ns/op,10
29,kr0mUKU06FXLsq,14,2318.384,ns/op,10
30,DD7ZcodVkHhj6r0,15,2399.582,ns/op,10
31,y8PslSsq2VnEJUQ,15,2320.766,ns/op,10
32,LoUbtj2HJSUaBZU1,16,2324.754,ns/op,10
33,lBu2KtAwfeq4Xv9S,16,2412.629,ns/op,10
34,UuDlV4upd1ufCJw2A,17,2417.619,ns/op,10
35,um9BIpHnPWXZhZ6P8,17,2561.678,ns/op,10
36,RzjNI0orQer4hoRght,18,2573.622,ns/op,10
37,zKp2dLMkjP9UmYzEcs,18,2518.307,ns/op,10
38,JymK2wSSdeJWNLwAbh2,19,2712.888,ns/op,10
39,6RPU2h85tdT6kwheo1z,19,2635.342,ns/op,10
40,ZboUlxLfFw4NrxwqI1Es,20,2614.394,ns/op,10
41,lbsHHQOvBO3hmyjhNuiF,20,2622.159,ns/op,10
42,L0xAsKP5LYKUW9HvMaaJz,21,2600.799,ns/op,10
43,GyMGvdP9L03qnrARns9vb,21,2896.585,ns/op,10
44,4WZtsjL0rBYh5Uze5SwdxE,22,2960.403,ns/op,10
45,XuFC5K2KS7yxH5NrKmRHEX,22,3066.285,ns/op,10
46,CNcUA0PW4uHitbohu98xI7E,23,2874.214,ns/op,10
47,i6ArA3E80RNekW6eyaDpmIQ,23,3310.515,ns/op,10
48,Am2lTMDqX4s6mCLAkGQWMTuT,24,2924.502,ns/op,10
49,i9s0OOTr5U5yu97DypMw71lo,24,2900.381,ns/op,10
50,fDi7BrfJgnpgMKHX22oNXDHj8,25,3015.232,ns/op,10
51,d6unKNKYkG81QGtrfidloxsEl,25,3010.920,ns/op,10
52,WnGFVGTn6qFGKAUzmsHW2HzYG4,26,3175.845,ns/op,10
53,g4uWri9NxktzIsMhyw4LSpXaYP,26,3179.731,ns/op,10
54,79DIyqMDBRLK8l5A246IuuvXaZD,27,3396.926,ns/op,10
55,4vPNx1NipRazxBdJBzCSXekSg6g,27,3274.232,ns/op,10
56,Aq9Nkyj3eyg4J6Y61lN67daYn6ZS,28,3370.208,ns/op,10
57,0ktRvDfeUyxE2TTbqJ6clabAGkUX,28,3274.433,ns/op,10
58,oXpQcgWx9ZeDxvP28u8U0qr4APsvW,29,3529.462,ns/op,10
59,B88SLIREcsUoVleQrs1hoqmUFDNFN,29,3722.892,ns/op,10
60,nsmKagGiXgJunq4h4OTg8KexYjo2vy,30,3391.839,ns/op,10
61,YfM7X9KfApGiHSfL8EJ4mACkN9sqjS,30,3222.829,ns/op,10
62,Km2zuSYpwO4kYoPjoxLwcRkBrFgbnK1,31,3874.326,ns/op,10
63,QGt4vFVJcCJU1BtvoyK4uHkvQ1UFsqB,31,3416.064,ns/op,10
64,ZKllPWIJ22bOwDjFpG42krBfgljXvunH,32,3849.284,ns/op,10
65,qL1ZdSo12YTirRiVLt69vwWFSLZ6pYxU,32,3532.718,ns/op,10
66,kY4PCUfMRDb90zTa4K95f4Jc0gfir950O,33,3616.491,ns/op,10
67,nak0Xtmpdqe02J41G5m6eZ3XKpDd4zyN2,33,4052.746,ns/op,10
68,QK9QMV6y3k58M8iLTeQ9OudvxoYi2hmEIB,34,3725.916,ns/op,10
69,4iPbDYAJQtYidwnI7dfn2Zi4I4cKqxIdW9,34,3691.086,ns/op,10
70,cimqLv99daP87Wy2XOZZAWIgxIo1L9Ws3kt,35,3850.567,ns/op,10
71,x20tLr2xDJuO0S4leLBiHLMytKgeesj6egO,35,4087.631,ns/op,10
72,zj43Qu7tCgwtoMi8hXKDrHCBE0d9a5gGLavY,36,3958.979,ns/op,10
73,6m6VhVhO0IONjukYGmEjKaUlk7SUYoNeH9aS,36,4132.410,ns/op,10
74,SHEpDplQJVWyrWFv29Ltu5RVORCMQIyj1RDji,37,3888.267,ns/op,10
75,HRGQgrZWu0ty5cGm0bFlVbq11s85ixYID26Cy,37,4095.138,ns/op,10
76,pQksVE1TLFvygbQhLakBVopqKWng68toZf1PGS,38,4094.205,ns/op,10
77,fTNlYmMDaOV0fKRG8fzWRIaUP6D20lovWLbrX4,38,4099.136,ns/op,10
78,rRkw4HSZidWpekHLHYAFbUMVhi2Id1mbB1JvDvI,39,4529.906,ns/op,10
79,Oa5b6qmgHksz1udz4wlbDaQMhKYpPlgoSGSohpO,39,4222.670,ns/op,10
80,QVItQrFTQfytQj4kbuON4fT8ShC0Nw12fkCoSCyW,40,4265.060,ns/op,10
81,0xZlvl5SSQnYcv9QKDfa8bKBFtD7dtGjYOcerAP0,40,4460.774,ns/op,10
82,3EXdYRfcCu6Ccuetj1MXIffQgpMDx8UzFeZdcNgke,41,4518.252,ns/op,10
83,uNhnwPB1W4QQse7CDeGgt4sKdHfnezlMoqNdCGjFO,41,4702.617,ns/op,10
84,SFsTab4qOlI9qsAwP0NPwEefyc3GWmZFHjFncBv7s0,42,4360.892,ns/op,10
85,rZctan3RMsO79dbQ2PNxQv1ZzWQG9MRLTAPXORQShK,42,4494.119,ns/op,10
86,ECDZzgMx8Quqw6F3EoVKtO3i2gv7faZA1f9I2N5xv1v,43,4360.224,ns/op,10
87,NzzvK8qPoiHgWCtYvhfDPeMHmkYcZE2y9lcM5YHDqMg,43,4454.961,ns/op,10
88,KPVNsEwSYbxbNyFvRyWgNEys8LbsB0AmUuSNOVfrEiWO,44,4450.720,ns/op,10
89,ZvkA5GWuurkkwvX3QmoAAOpnaKr7lVUce3q6LdXCVXPR,44,4521.587,ns/op,10
90,IFiOZQpWp46bFuqCNwLaQNNUn8TrKoyBxaQ3mgGpHCEK7,45,4868.258,ns/op,10
91,Yoh1Mv5vqNiJXFADHeno3RIlHBIfp1A2lM48wGSDpXoxj,45,4630.819,ns/op,10
