,string, length,Score,Unit,Batch
0,,0,88.074,ns/op,10
1,,0,86.276,ns/op,10
2,8,1,87.695,ns/op,10
3,w,1,86.678,ns/op,10
4,MN,2,91.582,ns/op,10
5,6N,2,87.726,ns/op,10
6,SiG,3,83.658,ns/op,10
7,zan,3,88.859,ns/op,10
8,AgPU,4,90.739,ns/op,10
9,Sdcl,4,87.150,ns/op,10
10,ntmEG,5,179.928,ns/op,10
11,JvmUh,5,175.105,ns/op,10
12,fMcwEs,6,177.991,ns/op,10
13,a2Ljki,6,164.768,ns/op,10
14,yKNpVqV,7,175.632,ns/op,10
15,fhi3ZJA,7,170.111,ns/op,10
16,NraNqGXt,8,167.212,ns/op,10
17,QO0aTPhY,8,162.151,ns/op,10
18,8fxqu6pXv,9,170.237,ns/op,10
19,1HAWW0lvj,9,170.185,ns/op,10
20,Ahkvxl3Juq,10,177.719,ns/op,10
21,sR6INxxoWT,10,170.401,ns/op,10
22,Fe7g1pBY8Td,11,169.163,ns/op,10
23,aaFNlqXqnEn,11,164.099,ns/op,10
24,NmHFAovwaFsc,12,172.018,ns/op,10
25,esWhd2WtB5Ph,12,188.211,ns/op,10
26,mzBmG9m8ts8GY,13,231.588,ns/op,10
27,8eJTODPku9uXI,13,214.146,ns/op,10
28,1PocLZN3FpVFMG,14,212.310,ns/op,10
29,kr0mUKU06FXLsq,14,215.654,ns/op,10
30,DD7ZcodVkHhj6r0,15,217.804,ns/op,10
31,y8PslSsq2VnEJUQ,15,214.534,ns/op,10
32,LoUbtj2HJSUaBZU1,16,209.675,ns/op,10
33,lBu2KtAwfeq4Xv9S,16,206.154,ns/op,10
34,UuDlV4upd1ufCJw2A,17,215.612,ns/op,10
35,um9BIpHnPWXZhZ6P8,17,219.143,ns/op,10
36,RzjNI0orQer4hoRght,18,213.272,ns/op,10
37,zKp2dLMkjP9UmYzEcs,18,216.933,ns/op,10
38,JymK2wSSdeJWNLwAbh2,19,211.668,ns/op,10
39,6RPU2h85tdT6kwheo1z,19,211.697,ns/op,10
40,ZboUlxLfFw4NrxwqI1Es,20,213.536,ns/op,10
41,lbsHHQOvBO3hmyjhNuiF,20,213.860,ns/op,10
42,L0xAsKP5LYKUW9HvMaaJz,21,260.682,ns/op,10
43,GyMGvdP9L03qnrARns9vb,21,278.963,ns/op,10
44,4WZtsjL0rBYh5Uze5SwdxE,22,275.043,ns/op,10
45,XuFC5K2KS7yxH5NrKmRHEX,22,245.875,ns/op,10
46,CNcUA0PW4uHitbohu98xI7E,23,270.912,ns/op,10
47,i6ArA3E80RNekW6eyaDpmIQ,23,273.684,ns/op,10
48,Am2lTMDqX4s6mCLAkGQWMTuT,24,281.042,ns/op,10
49,i9s0OOTr5U5yu97DypMw71lo,24,264.195,ns/op,10
50,fDi7BrfJgnpgMKHX22oNXDHj8,25,255.504,ns/op,10
51,d6unKNKYkG81QGtrfidloxsEl,25,269.079,ns/op,10
52,WnGFVGTn6qFGKAUzmsHW2HzYG4,26,269.858,ns/op,10
53,g4uWri9NxktzIsMhyw4LSpXaYP,26,273.378,ns/op,10
54,79DIyqMDBRLK8l5A246IuuvXaZD,27,269.994,ns/op,10
55,4vPNx1NipRazxBdJBzCSXekSg6g,27,285.729,ns/op,10
56,Aq9Nkyj3eyg4J6Y61lN67daYn6ZS,28,259.726,ns/op,10
57,0ktRvDfeUyxE2TTbqJ6clabAGkUX,28,324.369,ns/op,10
58,oXpQcgWx9ZeDxvP28u8U0qr4APsvW,29,299.111,ns/op,10
59,B88SLIREcsUoVleQrs1hoqmUFDNFN,29,311.929,ns/op,10
60,nsmKagGiXgJunq4h4OTg8KexYjo2vy,30,333.500,ns/op,10
61,YfM7X9KfApGiHSfL8EJ4mACkN9sqjS,30,307.754,ns/op,10
62,Km2zuSYpwO4kYoPjoxLwcRkBrFgbnK1,31,316.026,ns/op,10
63,QGt4vFVJcCJU1BtvoyK4uHkvQ1UFsqB,31,316.227,ns/op,10
64,ZKllPWIJ22bOwDjFpG42krBfgljXvunH,32,305.978,ns/op,10
65,qL1ZdSo12YTirRiVLt69vwWFSLZ6pYxU,32,318.958,ns/op,10
66,kY4PCUfMRDb90zTa4K95f4Jc0gfir950O,33,311.970,ns/op,10
67,nak0Xtmpdqe02J41G5m6eZ3XKpDd4zyN2,33,312.407,ns/op,10
68,QK9QMV6y3k58M8iLTeQ9OudvxoYi2hmEIB,34,310.871,ns/op,10
69,4iPbDYAJQtYidwnI7dfn2Zi4I4cKqxIdW9,34,310.309,ns/op,10
70,cimqLv99daP87Wy2XOZZAWIgxIo1L9Ws3kt,35,313.879,ns/op,10
71,x20tLr2xDJuO0S4leLBiHLMytKgeesj6egO,35,313.767,ns/op,10
72,zj43Qu7tCgwtoMi8hXKDrHCBE0d9a5gGLavY,36,323.737,ns/op,10
73,6m6VhVhO0IONjukYGmEjKaUlk7SUYoNeH9aS,36,365.025,ns/op,10
74,SHEpDplQJVWyrWFv29Ltu5RVORCMQIyj1RDji,37,372.942,ns/op,10
75,HRGQgrZWu0ty5cGm0bFlVbq11s85ixYID26Cy,37,356.356,ns/op,10
76,pQksVE1TLFvygbQhLakBVopqKWng68toZf1PGS,38,363.596,ns/op,10
77,fTNlYmMDaOV0fKRG8fzWRIaUP6D20lovWLbrX4,38,361.269,ns/op,10
78,rRkw4HSZidWpekHLHYAFbUMVhi2Id1mbB1JvDvI,39,380.408,ns/op,10
79,Oa5b6qmgHksz1udz4wlbDaQMhKYpPlgoSGSohpO,39,370.375,ns/op,10
80,QVItQrFTQfytQj4kbuON4fT8ShC0Nw12fkCoSCyW,40,353.044,ns/op,10
81,0xZlvl5SSQnYcv9QKDfa8bKBFtD7dtGjYOcerAP0,40,376.409,ns/op,10
82,3EXdYRfcCu6Ccuetj1MXIffQgpMDx8UzFeZdcNgke,41,357.111,ns/op,10
83,uNhnwPB1W4QQse7CDeGgt4sKdHfnezlMoqNdCGjFO,41,358.139,ns/op,10
84,SFsTab4qOlI9qsAwP0NPwEefyc3GWmZFHjFncBv7s0,42,357.480,ns/op,10
85,rZctan3RMsO79dbQ2PNxQv1ZzWQG9MRLTAPXORQShK,42,360.797,ns/op,10
86,ECDZzgMx8Quqw6F3EoVKtO3i2gv7faZA1f9I2N5xv1v,43,373.310,ns/op,10
87,NzzvK8qPoiHgWCtYvhfDPeMHmkYcZE2y9lcM5YHDqMg,43,360.161,ns/op,10
88,KPVNsEwSYbxbNyFvRyWgNEys8LbsB0AmUuSNOVfrEiWO,44,358.669,ns/op,10
89,ZvkA5GWuurkkwvX3QmoAAOpnaKr7lVUce3q6LdXCVXPR,44,354.708,ns/op,10
