,string, length, firstMatchPos,Score,Unit,Batch
0,error,5,0,377.333,ns/op,20
1,error5,6,0,333.225,ns/op,20
2,error5b,7,0,329.216,ns/op,20
3,error0pF,8,0,317.731,ns/op,20
4,errorFQCn,9,0,321.997,ns/op,20
5,errorhpSsS,10,0,315.963,ns/op,20
6,errorfjuKPo,11,0,316.864,ns/op,20
7,errorxxBOz9S,12,0,330.087,ns/op,20
8,errorMf8kaMd8,13,0,319.748,ns/op,20
9,errorUhpTYlEa0,14,0,327.957,ns/op,20
10,error8T3FJPl0Ul,15,0,317.010,ns/op,20
11,errorF4UTNggcTjc,16,0,357.860,ns/op,20
12,errorBqoxzYtCYQWo,17,0,366.456,ns/op,20
13,errorWkk9fTWxNNcVL,18,0,319.212,ns/op,20
14,errorMxb8jVpQwNIxFH,19,0,328.723,ns/op,20
15,error7wJiqAexTTdrC5p,20,0,343.601,ns/op,20
16,7error,6,1,339.973,ns/op,20
17,Rerrori,7,1,369.648,ns/op,20
18,qerrorhd,8,1,343.786,ns/op,20
19,9errorb10,9,1,321.970,ns/op,20
20,CerrorNOmH,10,1,320.056,ns/op,20
21,zerrorftjgY,11,1,345.292,ns/op,20
22,5errorCbjoI0,12,1,345.360,ns/op,20
23,Cerrorfomedjx,13,1,329.318,ns/op,20
24,Werrorc1wZPRbZ,14,1,345.496,ns/op,20
25,qerrorRp04s1UPe,15,1,319.364,ns/op,20
26,zerrorawyiQy7p5t,16,1,335.664,ns/op,20
27,cerror33ptP6OKaUj,17,1,324.154,ns/op,20
28,9error9IyVQEXEtimH,18,1,318.126,ns/op,20
29,FerrorxvS9SFXOgWvbH,19,1,321.238,ns/op,20
30,XerrorQfDmUJgyR8PCXl,20,1,318.720,ns/op,20
31,F2error,7,2,343.257,ns/op,20
32,hierrorq,8,2,333.591,ns/op,20
33,B1errorz1,9,2,326.809,ns/op,20
34,m3errorAX6,10,2,322.588,ns/op,20
35,3rerrorcu4B,11,2,332.786,ns/op,20
36,VCerrorNUMip,12,2,319.251,ns/op,20
37,cYerrorKtHhfR,13,2,328.965,ns/op,20
38,ePerrortW9VK26,14,2,318.060,ns/op,20
39,LXerrorJEjFmVOA,15,2,326.137,ns/op,20
40,vLerrorpLim9VoYe,16,2,331.076,ns/op,20
41,cgerror40CKFO14NX,17,2,307.445,ns/op,20
42,lUerrorPVmEztiT2PX,18,2,328.998,ns/op,20
43,nlerrordyARp4g4sHw8,19,2,318.501,ns/op,20
44,nQerror4tFxXZiTf096K,20,2,318.855,ns/op,20
45,iL1error,8,3,326.746,ns/op,20
46,SAoerrorj,9,3,320.954,ns/op,20
47,k0Qerrorjo,10,3,324.160,ns/op,20
48,jvaerrorQFi,11,3,320.807,ns/op,20
49,Q4gerrorRLec,12,3,343.191,ns/op,20
50,iPKerrorWOQYl,13,3,320.280,ns/op,20
51,JaNerrorilvZHc,14,3,325.403,ns/op,20
52,2yverrorQZAqFDI,15,3,317.056,ns/op,20
53,XMPerrorxBoDUb1Z,16,3,328.733,ns/op,20
54,I05errorNqBU8awZV,17,3,323.900,ns/op,20
55,JWperror2wv1aKuB7e,18,3,324.741,ns/op,20
56,o15errorSOkshEa7t9a,19,3,317.996,ns/op,20
57,bMAerrorrX7HxkGrJwVG,20,3,336.180,ns/op,20
58,Ety5error,9,4,491.412,ns/op,20
59,riE5error4,10,4,496.640,ns/op,20
60,MEuterrorog,11,4,470.595,ns/op,20
61,u1mjerrorz4r,12,4,435.297,ns/op,20
62,zqLSerroryb2m,13,4,469.355,ns/op,20
63,JpvderrorEJEDB,14,4,426.543,ns/op,20
64,PEzJerrornDiuL6,15,4,443.502,ns/op,20
65,xofFerrorxh8rej7,16,4,428.887,ns/op,20
66,LzYierrorevu6R2EO,17,4,432.588,ns/op,20
67,9XfVerror78GI7iFwk,18,4,482.147,ns/op,20
68,sjkKerrorV8ZOSeorJG,19,4,438.838,ns/op,20
69,N2V4errorZrX73CV1bkf,20,4,440.066,ns/op,20
70,dfNUverror,10,5,447.681,ns/op,20
71,bmvmkerroru,11,5,415.608,ns/op,20
