"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regex","Param: str"
"benchmark.StringContains.regexMatches","avgt",1,50,169.337127,0.055355,"ns/op",\+D_NJ,"e\YHI5Mg[?Fe9.q4tck%pd)v^R_81x$JZ'-0#bc*7D;` YK>yPi9ZVKY/p[EXuGxjWiia9"
"benchmark.StringContains.regexMatches","avgt",1,50,97.866128,0.080936,"ns/op",\+D_NJ,Yck:&a^[
"benchmark.StringContains.regexMatches","avgt",1,50,93.791990,0.433001,"ns/op",\+D_NJ,(#r%'-G*W
"benchmark.StringContains.regexMatches","avgt",1,50,1230.037482,0.730603,"ns/op",\+D_NJ,")`j7Pq#;g.:$%v9v]RHGgpZpMR#:DUG+[vejb=rvTo#(edqo=>gwXUu[w^Flk-?p^MWOei8Emyl8P]L'AB2hlP>rZ""m[('DOFQqzzvPo8%bu8e<15ZIznE\]$f6UNaA2n@5p_=#ReVywLc+Cc$^^*Hzx;87kdYqa-?T4cof@!\Yy^rv^[M$Xmvk5eIU""8>1yY(jQMB["
"benchmark.StringContains.regexMatches","avgt",1,50,496.123718,0.446386,"ns/op",\+D_NJ,"[DC""139h=0!F/7u.1ZKSXK#$^c-jcd]Fc#w;""^i24M]KF2@vb^i73`7`+u!&vd(-'dq%7q8`P'y *"
"benchmark.StringContains.regexMatches","avgt",1,50,550.146800,0.685924,"ns/op",\+D_NJ,")kp9OPQ!'_eH4Q@+T+'2*JB.4@""/7]P<""3._yIfd6X\PyYa=h64JO&N_$h'SOJ]bbvZm)Ryy>!)#lNY0@/ha1LE"
"benchmark.StringContains.regexMatches","avgt",1,50,186.982924,0.700515,"ns/op",\+D_NJ,S`qysoJmb_DYYLv_ovbrFmv%u/r@))`Z>\GD)s)`$(XiG!6/m=:Sw(3U-ddXzBPi
"benchmark.StringContains.regexMatches","avgt",1,50,356.218353,0.178946,"ns/op",\+D_NJ,"-BSo !d`WxJb+KLYBgLuziRY]vgVagF[m4j\-nx""w3t65TBq6Q`$QT#7P"
"benchmark.StringContains.regexMatches","avgt",1,50,141.541737,0.087307,"ns/op",\+D_NJ,"MH>c:L%0Zwl""INTyaI0'mzt`nLt<RTQN\cTtR^#l0>Cwd'<B"
"benchmark.StringContains.regexMatches","avgt",1,50,680.935161,2.510392,"ns/op",\+D_NJ,"<q5S2!1\8VVW=xSw0t y=;TKJUbD.z].oV;k9ne rH8?)Sr^QM`_O+YZgKK8vQycML/ay*b!yG4<&Nw_>BuoG_Isz#J.^U3cO'a""CsT0GMVnj!kvU"
"benchmark.StringContains.regexMatches","avgt",1,50,1442.045781,0.658724,"ns/op",\+D_NJ,"LHoXf`D:n@@vC7oDg)019gUyF)@K/k^BmYUR].Ol*GS?krar/Zf[lLi2SS_h9lDvg;3+uo^7=5e#Zp63K6;ul.gsk$N@)2s-v?.YZd!6dm<=p)MPxhG=ex)'LIol5%?0P/qC6Ra5hUSO.hwIlWkX#[;eo0v7UEu#OIFiCsDA=9s;.8Ohwj^""L6qeYar;V1QWbGF1g3Rl+3IBpY` P^Y5[$\EFkDF9&wb6^jzQ34il?3KB"
"benchmark.StringContains.regexMatches","avgt",1,50,174.660522,0.047320,"ns/op",\+D_NJ,"\""D5Rd2/;GAfh8hY/zmv\'yD?i<.I;-Z'4T8AGfl""E[[;0earOE *#Q\5C/z`/Oxv9[EDyzYuP"
"benchmark.StringContains.regexMatches","avgt",1,50,94.703035,0.418413,"ns/op",\+D_NJ,&HfnW9!
"benchmark.StringContains.regexMatches","avgt",1,50,481.784685,0.520650,"ns/op",\+D_NJ,"7ynz :s.&LjFiAjMNmWkEbur(G(S)cu]&/TR&__vi56'RAm#hsXs.O4^+*#FV?8^XBtA3SSj[st"
"benchmark.StringContains.regexMatches","avgt",1,50,704.181706,0.339259,"ns/op",\+D_NJ,"QoV-/(LJ=%EaQGTU$n@Xh"" )oiv$JiTWcl sj>m""@x7n5_$\oZfu=IWp7aXqT`4eQP#HCuc^QDe>mS0]6<\Ebs1#%iW_%NY;;%0(Dq+D&9"
"benchmark.StringContains.regexMatches","avgt",1,50,156.432264,0.194726,"ns/op",\+D_NJ,CP.lww`![WejWUpp`$Tuvx[(hNuA#p.e^;iq>0z%Ryz>V\
"benchmark.StringContains.stringContains","avgt",1,50,18.273995,0.023231,"ns/op",\+D_NJ,"e\YHI5Mg[?Fe9.q4tck%pd)v^R_81x$JZ'-0#bc*7D;` YK>yPi9ZVKY/p[EXuGxjWiia9"
"benchmark.StringContains.stringContains","avgt",1,50,8.987724,0.014187,"ns/op",\+D_NJ,Yck:&a^[
"benchmark.StringContains.stringContains","avgt",1,50,8.985415,0.005103,"ns/op",\+D_NJ,(#r%'-G*W
"benchmark.StringContains.stringContains","avgt",1,50,36.177615,0.022662,"ns/op",\+D_NJ,")`j7Pq#;g.:$%v9v]RHGgpZpMR#:DUG+[vejb=rvTo#(edqo=>gwXUu[w^Flk-?p^MWOei8Emyl8P]L'AB2hlP>rZ""m[('DOFQqzzvPo8%bu8e<15ZIznE\]$f6UNaA2n@5p_=#ReVywLc+Cc$^^*Hzx;87kdYqa-?T4cof@!\Yy^rv^[M$Xmvk5eIU""8>1yY(jQMB["
"benchmark.StringContains.stringContains","avgt",1,50,18.904702,0.015187,"ns/op",\+D_NJ,"[DC""139h=0!F/7u.1ZKSXK#$^c-jcd]Fc#w;""^i24M]KF2@vb^i73`7`+u!&vd(-'dq%7q8`P'y *"
"benchmark.StringContains.stringContains","avgt",1,50,20.496863,0.002887,"ns/op",\+D_NJ,")kp9OPQ!'_eH4Q@+T+'2*JB.4@""/7]P<""3._yIfd6X\PyYa=h64JO&N_$h'SOJ]bbvZm)Ryy>!)#lNY0@/ha1LE"
"benchmark.StringContains.stringContains","avgt",1,50,16.155668,0.002983,"ns/op",\+D_NJ,S`qysoJmb_DYYLv_ovbrFmv%u/r@))`Z>\GD)s)`$(XiG!6/m=:Sw(3U-ddXzBPi
"benchmark.StringContains.stringContains","avgt",1,50,16.586286,0.007044,"ns/op",\+D_NJ,"-BSo !d`WxJb+KLYBgLuziRY]vgVagF[m4j\-nx""w3t65TBq6Q`$QT#7P"
"benchmark.StringContains.stringContains","avgt",1,50,13.674786,0.005393,"ns/op",\+D_NJ,"MH>c:L%0Zwl""INTyaI0'mzt`nLt<RTQN\cTtR^#l0>Cwd'<B"
"benchmark.StringContains.stringContains","avgt",1,50,22.721556,0.007724,"ns/op",\+D_NJ,"<q5S2!1\8VVW=xSw0t y=;TKJUbD.z].oV;k9ne rH8?)Sr^QM`_O+YZgKK8vQycML/ay*b!yG4<&Nw_>BuoG_Isz#J.^U3cO'a""CsT0GMVnj!kvU"
"benchmark.StringContains.stringContains","avgt",1,50,40.630779,0.014361,"ns/op",\+D_NJ,"LHoXf`D:n@@vC7oDg)019gUyF)@K/k^BmYUR].Ol*GS?krar/Zf[lLi2SS_h9lDvg;3+uo^7=5e#Zp63K6;ul.gsk$N@)2s-v?.YZd!6dm<=p)MPxhG=ex)'LIol5%?0P/qC6Ra5hUSO.hwIlWkX#[;eo0v7UEu#OIFiCsDA=9s;.8Ohwj^""L6qeYar;V1QWbGF1g3Rl+3IBpY` P^Y5[$\EFkDF9&wb6^jzQ34il?3KB"
"benchmark.StringContains.stringContains","avgt",1,50,18.262704,0.007118,"ns/op",\+D_NJ,"\""D5Rd2/;GAfh8hY/zmv\'yD?i<.I;-Z'4T8AGfl""E[[;0earOE *#Q\5C/z`/Oxv9[EDyzYuP"
"benchmark.StringContains.stringContains","avgt",1,50,8.985672,0.006765,"ns/op",\+D_NJ,&HfnW9!
"benchmark.StringContains.stringContains","avgt",1,50,18.272333,0.007824,"ns/op",\+D_NJ,"7ynz :s.&LjFiAjMNmWkEbur(G(S)cu]&/TR&__vi56'RAm#hsXs.O4^+*#FV?8^XBtA3SSj[st"
